FIPS,total_pop,prop_vaccine_intent,prop_vaccine_intent_lower,prop_vaccine_intent_upper
1001,55639.0,0.26,0.24,0.27
1003,218289.0,0.31,0.3,0.32
1005,25026.0,0.21,0.18,0.24
1007,22374.0,0.24,0.19,0.29
1009,57755.0,0.23,0.21,0.25
1011,10173.0,0.2,0.16,0.23
1013,19726.0,0.22,0.19,0.26
1015,114324.0,0.25,0.24,0.26
1017,33427.0,0.2,0.18,0.22
1019,26035.0,0.23,0.2,0.25
1021,44147.0,0.24,0.21,0.26
1023,12755.0,0.22,0.17,0.26
1025,23866.0,0.18,0.16,0.21
1027,13285.0,0.23,0.17,0.28
1029,14952.0,0.22,0.17,0.27
1031,52238.0,0.23,0.21,0.24
1033,54957.0,0.23,0.22,0.25
1035,12219.0,0.17,0.13,0.22
1037,10696.0,0.27,0.2,0.34
1039,37096.0,0.23,0.21,0.25
1041,13826.0,0.2,0.16,0.24
1043,83345.0,0.2,0.19,0.22
1045,49293.0,0.18,0.16,0.19
1047,38184.0,0.19,0.17,0.21
1049,71430.0,0.21,0.19,0.22
1051,81526.0,0.26,0.25,0.27
1053,36775.0,0.21,0.19,0.22
1055,102721.0,0.24,0.23,0.26
1057,16406.0,0.23,0.19,0.26
1059,31587.0,0.21,0.18,0.24
1061,26383.0,0.21,0.18,0.24
1063,8221.0,0.12,0.07,0.16
1065,14754.0,0.22,0.17,0.26
1067,17123.0,0.21,0.17,0.24
1069,105319.0,0.24,0.23,0.25
1071,51765.0,0.2,0.18,0.21
1073,658615.0,0.29,0.28,0.29
1075,13854.0,0.15,0.11,0.18
1077,92870.0,0.26,0.25,0.28
1079,32969.0,0.23,0.2,0.26
1081,163461.0,0.23,0.23,0.24
1083,96921.0,0.27,0.26,0.28
1085,9936.0,0.25,0.2,0.29
1087,18437.0,0.2,0.16,0.24
1089,367686.0,0.31,0.3,0.31
1091,19138.0,0.19,0.16,0.22
1093,29818.0,0.16,0.14,0.19
1095,96137.0,0.23,0.22,0.25
1097,413977.0,0.24,0.23,0.25
1099,21006.0,0.21,0.18,0.24
1101,226451.0,0.25,0.25,0.26
1103,119352.0,0.24,0.23,0.25
1105,9104.0,0.19,0.13,0.24
1107,20049.0,0.24,0.2,0.28
1109,33274.0,0.21,0.19,0.23
1111,22732.0,0.18,0.15,0.22
1113,57938.0,0.19,0.18,0.21
